#{"t_start": 1534274605.863172, "env_id": "Humanoid-v2"}
r,l,t
90.238226,20,0.045027
86.398598,18,0.063565
79.287655,17,0.080768
79.464162,17,0.097769
85.146851,18,0.115981
96.328138,21,0.137407
98.690512,20,0.157263
76.183382,16,0.173006
81.543983,17,0.189671
76.110164,16,0.205526
106.169349,24,0.229743
84.687628,18,0.247359
81.208955,17,0.263842
108.586642,23,0.287397
83.559362,18,0.305484
81.245625,17,0.322066
81.311949,17,0.338618
93.46538,20,0.358706
80.300367,17,0.375355
93.910332,20,0.395188
109.279343,23,0.41859
108.441664,23,0.441347
89.352572,19,0.460202
120.530818,26,0.486362
104.575498,22,0.508356
94.799168,21,0.529793
131.661728,27,0.557466
110.150508,23,0.581222
87.188463,18,0.598824
85.499169,18,0.616897
135.498344,29,0.646259
167.278645,36,0.683148
80.479125,18,0.701097
99.61372,23,0.724579
122.90352,26,0.75121
98.162926,21,0.772167
75.858018,16,0.787884
95.067284,21,0.808834
94.531329,21,0.830689
106.82024,23,0.853738
104.395432,22,0.876415
94.168961,21,0.897466
109.858877,24,0.921889
117.441684,24,0.946343
93.257716,21,0.967921
93.416718,19,0.987294
159.66356,34,1.022686
90.979676,20,1.042924
79.800983,17,1.059629
98.860489,22,1.082316
131.714929,27,1.109728
89.174696,19,1.128584
87.098917,18,1.146588
116.341767,25,1.17201
105.642341,22,1.194317
117.509973,26,1.220314
91.609119,19,1.239117
86.021343,18,1.256785
90.387841,20,1.276487
87.050219,18,1.294155
81.212697,17,1.310633
94.06844,20,1.330987
95.957723,20,1.351377
86.511172,19,1.370579
124.307019,28,1.398649
81.704997,17,1.415266
121.202549,26,1.442019
104.422747,23,1.46527
114.665093,25,1.490282
76.460518,16,1.505694
110.626526,23,1.528932
121.628529,26,1.554926
80.499478,17,1.572137
81.272202,17,1.588694
97.245189,22,1.611063
91.252933,19,1.629817
89.16736,19,1.64833
81.248674,17,1.665148
81.230898,17,1.681637
87.56576,20,1.701554
74.34278,16,1.717164
127.732571,26,1.743442
118.297806,26,1.769463
93.574089,22,1.791866
81.495596,17,1.808346
82.728439,18,1.826285
120.319507,25,1.851122
118.777193,26,1.877045
103.974268,22,1.899412
91.800787,20,1.919503
84.943433,18,1.937236
96.285654,21,1.958399
85.161099,18,1.976597
93.630333,21,1.997711
108.578549,22,2.019521
110.232571,25,2.044623
86.221387,18,2.062991
91.898526,19,5.33105
96.024491,21,5.354662
102.797453,23,5.378778
79.510231,17,5.395688
88.853786,20,5.41571
90.941556,20,5.436057
104.15171,23,5.459209
85.729253,19,5.478565
118.322353,27,5.506311
140.088933,30,5.536797
97.238782,22,5.559034
112.149564,26,5.586213
87.651473,18,5.604133
99.589264,22,5.626517
103.704735,22,5.649342
124.104427,28,5.677639
80.982659,17,5.694381
117.003774,26,5.72097
79.905945,17,5.738192
89.00289,19,5.757577
124.701018,26,5.78475
125.276915,28,5.813487
94.271915,20,5.833803
81.314987,17,5.850597
124.567651,28,5.879379
131.088064,28,5.908429
75.314319,16,5.924447
81.009822,17,5.941297
125.617316,27,5.968427
115.723186,28,5.997835
85.60358,18,6.015821
85.907394,18,6.03379
76.439807,16,6.049563
86.680113,19,6.069459
121.066428,27,6.097416
93.658801,21,6.118579
88.400447,19,6.138235
76.986979,17,6.155277
107.392764,24,6.180059
147.323193,30,6.210905
140.353882,30,6.24153
104.279358,23,6.26498
81.478504,17,6.281534
86.462674,19,6.3004
111.054501,25,6.326066
76.335049,16,6.342164
94.025192,21,6.364423
89.859978,19,6.383904
105.980046,24,6.408941
103.055374,21,6.430479
107.565172,25,6.456561
97.678017,21,6.477879
85.213686,18,6.495749
90.261186,19,6.515159
112.936113,23,6.538673
102.357959,22,6.560578
89.426603,19,6.580092
78.527596,17,6.597076
100.810102,21,6.618323
93.68715,20,6.638161
90.77873,19,6.657623
122.503952,29,6.68801
154.364508,35,6.724206
102.398058,22,6.747105
130.771546,28,6.776068
84.107132,18,6.794273
202.367932,49,6.847261
115.137418,24,6.871365
103.263575,21,6.892946
111.50058,23,6.916555
80.793262,17,6.933602
95.362794,20,6.954543
77.494202,17,6.971555
82.06045,18,6.990012
81.455872,17,7.006883
93.780463,21,7.028185
90.426742,19,7.047729
88.47086,20,7.068283
75.730828,16,7.08438
80.899478,17,7.101171
92.723064,19,7.120509
105.396997,22,7.142573
101.640647,21,7.163699
113.318455,26,7.190487
94.484001,20,7.210447
81.284986,17,7.227531
95.549057,20,7.247836
90.008714,19,7.267284
129.650078,27,7.294831
142.536733,29,7.324979
145.557883,30,7.356881
75.087802,16,7.373412
81.28788,17,7.3908
81.801857,17,7.407737
132.106848,28,10.670394
114.731225,26,10.697675
93.73854,20,10.718404
120.056745,25,10.74412
87.462186,18,10.761498
110.256649,25,10.787527
96.682746,20,10.807432
106.341579,25,10.832728
114.580151,25,10.858015
134.460437,29,10.887578
81.153645,17,10.904493
84.907121,18,10.92263
130.980865,27,10.950731
84.429937,18,10.96922
93.995391,21,10.991131
91.32232,19,11.010127
81.446403,17,11.027481
124.705718,27,11.055532
89.364547,19,11.074473
107.930138,23,11.097541
76.534983,16,11.113343
81.145227,17,11.130278
80.515484,17,11.147081
108.768398,24,11.171072
85.207379,18,11.188798
138.45828,32,11.222155
112.986971,23,11.245233
88.9649,19,11.264308
86.571713,18,11.281878
101.951548,24,11.306299
97.895416,21,11.327592
76.612735,16,11.343614
114.78504,27,11.371842
102.140108,21,11.393135
111.958745,23,11.416271
129.389867,27,11.443327
147.270031,30,11.473896
107.851021,23,11.497412
122.369407,28,11.525867
86.02283,18,11.544147
81.228305,17,11.560782
94.859412,20,11.581515
92.212242,21,11.603182
80.774564,17,11.620145
129.382597,29,11.649423
85.480313,18,11.667292
90.652953,19,11.685968
102.134732,21,11.707603
81.577599,17,11.724277
132.76963,29,11.753936
118.732965,26,11.780268
113.641269,26,11.80733
85.458612,18,11.825587
107.697485,23,11.848522
108.068957,23,11.871549
163.234329,36,11.909908
91.830794,20,11.929657
128.982105,27,11.957051
88.509534,20,11.977002
81.103931,17,11.993439
89.813008,20,12.013479
106.734121,23,12.036189
104.106142,23,12.060117
89.662772,19,12.079867
110.376487,24,12.10451
80.651973,17,12.121298
125.476067,27,12.148926
156.527328,34,12.18432
124.47353,27,12.212202
129.321258,31,12.245399
85.467261,18,12.263242
80.894475,17,12.279837
83.694071,18,12.29778
127.105832,27,12.326062
80.193171,17,12.34286
110.714842,23,12.366781
102.298407,23,12.390453
80.57736,18,12.408177
241.694535,51,12.463224
107.064573,26,12.489946
113.225861,26,12.516621
121.835961,25,12.54304
95.977346,20,12.563179
100.478225,21,12.584128
111.655588,24,12.609058
106.827839,23,12.632243
92.185584,19,12.65151
116.500801,26,12.679421
81.361622,17,12.696653
84.682241,18,12.715045
104.546162,22,12.738017
98.133323,20,15.767365
91.421805,19,15.78715
88.96712,19,15.806403
94.772846,20,15.827066
105.468506,23,15.850336
82.904645,20,15.870578
134.128782,28,15.899472
112.872773,26,15.925708
74.893569,16,15.942074
83.216272,18,15.959786
113.937667,24,15.984426
105.791385,23,16.007642
126.156147,27,16.034987
144.939962,32,16.068909
110.641629,25,16.095203
84.8752,18,16.112722
86.53883,18,16.130645
79.374412,17,16.147419
88.130535,18,16.165204
90.495068,19,16.18495
105.466172,23,16.208084
117.285682,27,16.235906
114.46587,24,16.261308
96.682568,21,16.282737
91.099962,19,16.301448
123.970641,25,16.327157
113.389449,23,16.350332
119.916956,25,16.375483
83.868188,18,16.393307
123.557802,27,16.420505
95.584957,20,16.440702
129.604422,28,16.469832
170.255211,37,16.507905
84.494109,18,16.525784
88.803835,20,16.545774
91.810099,19,16.564633
130.87154,27,16.592667
97.115341,24,16.617272
112.104831,23,16.641063
92.725336,21,16.662054
125.964044,27,16.689665
80.539139,17,16.706632
85.925001,18,16.724329
88.158129,19,16.743417
145.809522,31,16.774879
92.687537,19,16.793971
85.308043,19,16.813544
85.205892,18,16.831527
97.631284,20,16.85138
107.13729,23,16.875772
133.390223,29,16.905717
131.828722,31,16.938666
83.40142,18,16.956782
85.769906,18,16.974268
126.606711,28,17.002931
90.28762,19,17.021805
98.124256,24,17.04645
91.461187,19,17.065467
151.35366,33,17.09975
121.078369,25,17.125362
81.270098,17,17.142025
90.01737,19,17.161217
86.745203,20,17.181486
106.584052,23,17.204664
126.821529,27,17.232238
104.632998,23,17.255361
99.86651,21,17.276409
107.731412,24,17.300845
101.199885,23,17.324841
132.634677,27,17.352195
104.811541,22,17.374628
154.686541,32,17.407503
103.461937,23,17.430665
99.081647,22,17.452721
108.703697,24,17.476724
130.011718,27,17.504074
131.358799,27,17.531826
140.918885,30,17.56302
81.303239,17,17.58047
89.900891,19,17.600013
157.536548,35,17.63615
91.862855,20,17.656699
109.076444,25,17.682419
133.442721,30,17.713536
79.290712,17,17.730136
104.062224,23,17.753917
99.608919,22,17.776374
125.854676,29,17.80711
87.121085,18,17.825799
116.404326,25,20.638602
162.202484,34,20.673756
105.982796,24,20.698433
106.289367,23,20.722021
147.130623,30,20.752493
88.453069,19,20.772091
96.827376,20,20.792315
104.070868,23,20.816427
96.467353,23,20.840772
147.386773,31,20.873432
98.246023,21,20.894628
109.818907,22,20.917248
100.211431,21,20.939246
120.615708,25,20.964597
108.565638,25,20.990849
130.325082,29,21.020521
91.948717,19,21.039686
137.035128,29,21.068993
91.907912,20,21.089485
124.122885,28,21.119085
117.625439,28,21.147724
134.463586,27,21.175071
84.270121,18,21.193314
107.740621,23,21.216374
100.187562,21,21.237544
106.243952,24,21.261656
87.18362,19,21.280746
129.621367,28,21.308971
127.101208,28,21.337872
102.161943,22,21.360034
140.297273,34,21.39489
151.992404,35,21.431127
146.215724,30,21.461684
85.211858,18,21.47952
131.006916,28,21.508352
84.291101,18,21.52639
94.480612,21,21.547182
75.527275,16,21.563337
93.277434,19,21.583242
184.904554,39,21.624136
112.48434,24,21.648953
124.192057,26,21.67526
162.270304,35,21.712243
85.627327,18,21.730095
93.518907,20,21.750092
123.680208,27,21.776835
84.94738,18,21.795384
175.692686,39,21.836478
122.348286,25,21.861657
105.538085,22,21.883415
110.173067,23,21.907
117.781031,25,21.931832
85.381442,18,21.950051
101.771988,23,21.973221
171.863617,37,22.011011
131.812402,31,22.042869
137.424508,29,22.073136
83.647017,18,22.09123
94.587137,23,22.114593
121.044779,26,22.140601
85.544596,18,22.158433
109.01482,25,22.183864
128.060436,29,22.21321
92.444497,19,22.232382
167.794632,35,22.268112
140.061501,29,22.297874
140.950889,29,22.329227
111.387848,27,22.357296
135.781805,30,22.389472
86.033101,18,22.407036
91.641003,19,22.425945
151.905508,33,22.459922
186.100907,40,22.501307
125.205359,28,22.53014
132.31199,28,22.559869
97.714319,20,22.581494
80.983816,18,22.599398
118.416297,28,22.628886
106.652151,22,22.651135
145.947998,30,22.682713
98.933332,20,22.702997
80.415616,17,22.719761
94.50501,21,25.818563
118.95861,25,25.844764
85.069319,18,25.863009
115.879011,24,25.887659
107.26046,24,25.912838
86.002503,18,25.931123
133.634957,29,25.961747
166.14808,37,26.000444
146.205163,31,26.033163
80.313426,17,26.050084
101.127227,21,26.071863
130.768271,28,26.100838
92.198395,19,26.120162
123.575208,28,26.149273
119.146071,25,26.175643
106.261036,23,26.199395
127.982863,26,26.225994
128.868825,29,26.256295
117.97138,24,26.281008
142.079816,30,26.313063
136.42095,31,26.346071
113.843874,24,26.371375
100.175489,22,26.393941
120.742994,25,26.419283
110.873301,23,26.442371
97.215844,21,26.463453
204.759799,45,26.511389
115.759669,24,26.535927
146.942262,34,26.572127
79.926947,17,26.589517
170.749376,39,26.630861
128.168075,28,26.659976
92.383945,19,26.67898
148.591833,33,26.712942
104.136742,23,26.736324
115.582414,24,26.760746
88.503501,22,26.783128
78.27885,17,26.800353
153.155607,34,26.838249
131.372121,27,26.865895
78.714808,17,26.883397
88.758372,19,26.902588
95.657109,20,26.922827
86.094794,18,26.940702
132.425378,30,26.971613
136.483685,32,27.005468
81.176539,17,27.022703
114.640864,26,27.049678
94.358432,20,27.070233
118.922609,27,27.100562
86.239732,18,27.119301
102.436231,21,27.140822
111.607278,26,27.167645
127.527962,26,27.194768
104.001251,22,27.216971
81.497723,18,27.235121
185.669353,42,27.278616
101.005107,21,27.299644
113.429051,25,27.3262
139.455687,30,27.358121
144.01589,30,27.389006
85.933146,18,27.406936
133.805091,31,27.439288
120.77821,25,27.464525
110.800836,25,27.490341
147.057585,33,27.525094
120.286905,25,27.55042
97.386002,21,27.57183
136.550957,30,27.605528
170.873381,39,27.646651
160.172575,32,27.679844
86.738127,18,27.697639
92.699746,20,27.717897
117.485656,27,27.745645
86.761169,18,27.763799
93.182877,19,27.782845
88.963956,19,27.801852
171.183634,36,27.839273
89.662521,19,27.859164
102.930092,22,27.881518
99.178577,24,27.906322
96.342214,20,27.926712
128.39835,26,30.735771
91.240045,19,30.755382
85.398641,18,30.773645
128.177263,27,30.801238
124.394838,26,30.828419
175.869765,39,30.871254
135.655653,30,30.902924
98.777525,21,30.925176
157.029198,35,30.962151
81.184743,17,30.978933
99.985225,21,31.000515
160.642378,35,31.037823
90.664571,19,31.056772
76.51376,16,31.072625
165.354213,36,31.110927
161.270698,35,31.147899
133.614742,29,31.177951
137.38118,32,31.211775
76.539241,16,31.227606
114.483055,24,31.252172
93.738953,20,31.272451
125.433569,26,31.299145
98.662633,23,31.324012
423.585063,91,31.424573
111.760843,24,31.449512
96.511835,21,31.471249
154.008847,33,31.505845
130.417948,27,31.53358
73.790185,17,31.550607
135.860711,29,31.581658
129.629814,27,31.609183
83.193719,18,31.627044
176.107717,38,31.666847
102.062519,23,31.689742
117.578638,27,31.717015
118.412304,24,31.741151
92.024788,20,31.761728
123.307698,25,31.787201
157.526905,33,31.821761
82.516237,20,31.842692
164.230892,33,31.876358
157.810934,37,31.914732
97.056412,21,31.936024
121.971743,25,31.961661
122.920976,25,31.987968
96.534815,22,32.010056
98.406636,24,32.03424
84.858109,18,32.052447
142.944052,29,32.083376
110.211146,23,32.106586
119.3141,27,32.13414
102.882358,24,32.158536
144.57256,31,32.190215
89.835009,19,32.209005
136.038051,29,32.23912
111.016789,25,32.26512
80.753309,17,32.282012
133.307381,28,32.310647
117.225001,26,32.337408
100.651845,21,32.35866
86.951273,18,32.376773
187.75445,40,32.419156
141.684798,31,32.451523
97.972076,21,32.472537
122.427199,27,32.500602
82.583645,17,32.517436
136.729011,29,32.547186
109.357907,24,32.571366
100.244034,21,32.592796
108.284538,25,32.618489
169.655394,37,32.657672
208.888932,41,32.700411
131.859893,28,32.728601
103.456654,21,32.749742
109.219508,23,32.772947
126.199559,28,32.802068
87.500212,18,32.820236
171.036248,37,35.543356
139.453802,30,35.573937
128.438038,30,35.605666
126.736246,26,35.633119
137.742097,31,35.665959
100.875976,22,35.688401
103.832883,22,35.711151
117.537736,28,35.740527
213.534574,46,35.788583
164.829745,35,35.825443
134.367034,30,35.858992
136.83735,29,35.889587
118.145705,24,35.914495
93.19493,20,35.934849
113.018414,23,35.958296
139.461989,29,35.987831
122.03225,28,36.016834
110.066996,24,36.041112
127.020879,26,36.067992
83.889369,18,36.090424
177.690076,38,36.130332
148.44715,32,36.16357
141.392202,31,36.195609
88.432663,19,36.215006
157.983652,34,36.250386
124.539267,26,36.277236
107.561583,25,36.303128
115.724401,24,36.327132
88.964538,19,36.348143
92.884826,20,36.368425
177.971214,38,36.40901
114.235475,25,36.435662
124.478792,28,36.464586
152.829287,33,36.498664
112.307381,23,36.522562
93.428593,21,36.544323
121.151099,26,36.570426
120.672925,26,36.599183
134.51957,30,36.630781
129.244687,28,36.659396
140.039373,29,36.689205
85.753103,18,36.707096
145.550405,30,36.738146
165.228909,33,36.773641
126.242092,28,36.802327
181.148584,37,36.842884
92.17764,20,36.862991
195.931975,45,36.91011
142.475699,29,36.940583
142.361916,33,36.975493
162.860733,35,37.01112
122.979845,29,37.041402
193.049854,47,37.092885
204.42382,45,37.140012
98.998602,21,37.161298
100.990697,21,37.182482
151.44691,34,37.21708
85.280859,19,37.23651
133.559318,29,37.266738
197.471203,45,37.313976
105.017511,23,37.337864
139.827863,31,37.369882
107.497026,23,37.394089
94.225561,20,37.414734
113.868206,26,37.441082
173.470165,39,37.481933
89.649941,19,37.501257
221.774534,47,37.552112
126.815386,29,37.583874
221.516638,47,37.634156
175.657018,38,40.504215
168.57733,35,40.548007
133.818836,30,40.586587
99.289309,22,40.615126
269.364101,53,40.675197
105.924258,22,40.697831
117.59605,25,40.724111
125.970237,29,40.754421
138.366875,28,40.783724
138.112979,29,40.814101
125.246562,28,40.843982
184.266552,37,40.883177
98.323672,20,40.903588
183.433069,39,40.944948
83.046547,18,40.963607
156.941983,34,40.99978
113.860616,24,41.024975
133.485916,27,41.052524
86.952312,19,41.071962
178.009702,37,41.110614
96.409333,20,41.131177
125.204205,26,41.158402
99.515665,21,41.180314
104.292527,22,41.202726
101.426077,21,41.22432
90.251606,19,41.244038
129.656261,28,41.273361
85.167522,18,41.29208
117.077506,28,41.32135
191.083398,43,41.369514
292.621518,64,41.440976
199.932194,41,41.483268
90.922734,19,41.502859
113.791367,25,41.528547
132.885786,29,41.559711
141.324797,32,41.593651
101.883628,21,41.615298
166.309592,37,41.653454
137.047645,28,41.682322
122.960741,27,41.710363
84.323871,18,41.728459
124.846068,28,41.756743
86.799939,20,41.77695
108.452368,23,41.800658
109.485947,26,41.827513
114.733347,24,41.852463
181.090959,37,41.89077
100.65933,22,41.914974
131.038046,29,41.953951
135.442885,30,41.985718
117.357909,26,42.0125
113.209006,24,42.037335
88.410903,19,42.056409
105.739037,24,42.080927
140.411563,32,42.114632
81.591862,17,42.131364
110.7883,24,42.156144
176.556647,39,42.196729
146.422924,33,42.23151
110.295547,22,42.253911
108.44552,24,42.278383
93.886637,24,42.302712
149.656381,32,42.336913
99.116794,21,42.358236
188.117791,40,42.40048
120.597132,27,42.428344
90.880341,19,42.447976
131.830404,29,42.478142
126.109167,27,42.506121
145.384288,32,42.538941
84.914739,18,42.557123
100.340739,24,42.581945
131.041694,30,42.613588
97.126532,20,42.634076
176.541646,38,45.690894
99.273181,24,45.71603
164.901564,37,45.755987
119.744146,25,45.782099
127.50795,26,45.808978
126.699498,28,45.839341
113.187219,23,45.862609
150.126186,34,45.897729
101.592987,21,45.919374
113.093617,24,45.94437
135.361731,29,45.978787
116.796611,27,46.0099
139.901033,32,46.043859
193.896365,40,46.087754
164.977498,36,46.126791
90.787974,19,46.146694
137.076391,29,46.177807
163.601188,34,46.213272
109.252017,22,46.235896
153.880514,35,46.273205
126.201102,28,46.302978
143.530773,32,46.33797
111.44788,23,46.361762
123.298819,26,46.39013
136.445334,28,46.419116
145.752523,30,46.451666
161.841493,37,46.490866
121.181682,25,46.516618
97.898972,20,46.536834
149.339701,32,46.569539
86.740632,18,46.587941
85.757915,18,46.606385
110.796845,23,46.629776
212.930039,43,46.676057
150.332552,35,46.713633
131.437169,30,46.745553
134.357973,30,46.776933
82.089032,18,46.795517
93.867402,20,46.815865
178.128511,42,46.860975
125.560855,27,46.889854
161.913467,36,46.92757
149.189972,31,46.960231
111.953356,24,46.985203
154.567643,33,47.020817
98.889835,22,47.042994
136.114791,28,47.072745
147.611173,32,47.106705
257.8508,51,47.160466
89.871154,19,47.18017
116.62119,26,47.206954
140.58573,29,47.236492
81.166434,17,47.253351
157.180961,33,47.288539
96.273994,21,47.31021
139.774922,32,47.344828
199.971678,45,47.394153
125.783377,27,47.421834
137.523066,31,47.455104
348.847409,72,47.531888
167.74054,39,47.572149
107.65592,22,47.596328
144.261553,31,47.628658
118.406554,26,47.65591
97.277568,20,47.676601
199.840307,43,47.72112
92.771334,20,47.741806
119.28029,25,47.767208
139.832275,30,47.79812
178.872316,41,50.849748
153.924806,32,50.883497
82.242008,17,50.900656
225.028984,49,50.953151
146.951975,30,50.984222
148.885132,30,51.015822
92.276062,19,51.0354
99.699794,21,51.057186
173.502316,41,51.101412
101.44188,21,51.123042
133.865341,30,51.155747
101.050924,23,51.17988
99.43531,23,51.204534
149.386625,31,51.237195
188.011569,40,51.279618
158.128173,35,51.31619
242.700634,49,51.368539
114.757522,24,51.392794
85.941242,18,51.411728
80.468726,17,51.429497
166.529927,37,51.46865
136.813666,31,51.501382
239.350173,57,51.563089
115.493458,24,51.588275
287.777068,64,51.656845
192.469723,44,51.703554
126.681696,27,51.732002
168.498019,38,51.772775
147.729129,30,51.803534
155.920624,37,51.844444
101.086861,21,51.866239
111.887738,24,51.891127
136.799034,28,51.921175
173.362144,36,51.960094
152.246824,32,51.994548
146.952501,35,52.031832
109.254985,23,52.05546
92.439287,20,52.075384
162.466027,35,52.112026
153.868755,32,52.14505
125.185717,27,52.172998
194.153666,42,52.218637
120.017094,26,52.245695
230.129982,51,52.299892
165.762995,38,52.339647
102.877423,21,52.361692
115.818535,26,52.38928
137.197304,33,52.42483
82.437731,18,52.443156
205.235555,45,52.490729
117.282909,26,52.518006
95.124383,20,52.538291
132.934885,29,52.56881
117.023843,25,52.595307
136.273298,30,52.626543
126.294047,30,52.656881
212.263175,46,52.705807
117.417022,25,52.731824
90.764108,19,52.751157
142.380989,33,52.784918
112.143494,25,52.810846
144.910481,29,52.840518
102.705264,22,52.862989
111.15285,25,52.889484
238.732449,49,52.940307
110.947837,23,52.964986
218.333338,50,55.640675
182.47075,40,55.683246
94.413667,20,55.703711
186.363936,39,55.744921
95.853018,20,55.765815
143.944688,30,55.79765
128.552285,29,55.827854
214.13965,45,55.879001
145.432293,30,55.910857
108.249992,23,55.935383
98.643648,24,55.960679
96.81798,22,55.984364
143.630799,30,56.015926
99.442709,21,56.037335
163.469253,35,56.074332
111.349972,24,56.101474
137.513426,31,56.133863
148.623799,32,56.16819
97.072861,21,56.192338
146.309553,32,56.238126
167.56205,35,56.275401
99.507811,22,56.298924
162.033252,37,56.339128
103.806421,23,56.364473
139.387192,29,56.398175
195.601941,41,56.441973
104.663988,22,56.46529
225.084643,50,56.51916
159.517669,34,56.555458
140.923546,32,56.589224
200.822746,42,56.63455
138.031132,30,56.666364
134.293659,28,56.697733
135.003537,29,56.728195
161.989788,36,56.766133
97.828065,20,56.787511
128.894604,27,56.816001
111.408954,24,56.841933
131.288478,29,56.873393
122.766202,27,56.901361
116.618927,25,56.927907
117.98607,26,56.954815
170.724819,36,56.992749
92.070055,19,57.011931
175.381346,36,57.053493
133.58757,30,57.08602
237.387578,55,57.149614
160.129252,34,57.185194
128.422834,27,57.213398
93.637592,21,57.23501
105.004215,22,57.257618
264.495629,58,57.320502
98.978946,21,57.342247
126.562431,26,57.369688
162.027278,37,57.408474
111.592808,26,57.435515
175.94856,37,57.475075
163.881929,38,57.515683
209.139148,43,57.560605
188.415893,40,57.603274
81.18202,17,57.620393
164.635221,34,57.656238
239.33039,57,57.717762
192.224935,41,57.760245
263.10574,57,57.820606
123.449829,25,60.706489
155.91424,33,60.747293
85.48239,18,60.769782
116.403801,24,60.798919
113.481768,24,60.824693
144.336006,33,60.860751
185.634957,37,60.901309
165.892474,37,60.940417
119.261788,26,60.96784
141.805869,29,60.999031
212.566042,49,61.052136
161.501137,36,61.090522
143.909323,29,61.12151
283.333795,61,61.188011
216.933673,42,61.234181
122.920663,28,61.263872
119.138806,26,61.291258
124.409577,31,61.324686
229.119224,47,61.376429
95.578827,20,61.397674
162.71308,36,61.43551
155.24174,34,61.47289
132.377029,27,61.503409
88.233833,20,61.528679
183.457773,42,61.582895
95.375607,22,61.606215
134.157499,31,61.639042
94.707403,20,61.659717
96.579917,20,61.680653
109.676731,24,61.705889
101.497794,22,61.729981
186.296891,42,61.775646
116.949031,24,61.801414
184.840857,38,61.843407
194.873377,40,61.897794
96.498772,22,61.927217
125.914107,28,61.964029
154.172441,33,62.002293
203.036478,46,62.050688
164.296268,36,62.087902
139.95735,29,62.118231
120.721406,27,62.1461
94.987218,20,62.166245
154.789615,33,62.200988
83.251213,18,62.219406
217.241282,48,62.270736
123.549641,25,62.296761
183.278903,39,62.337998
243.690046,50,62.394397
240.655729,50,62.448373
176.615016,40,62.491559
159.734408,33,62.527164
154.529475,32,62.561253
188.60631,44,62.609877
181.40802,38,62.650467
136.627322,28,62.679554
155.9065,33,62.713618
149.132465,32,62.746897
148.882472,34,62.782857
111.98381,26,62.809443
121.904957,25,62.83518
118.598761,29,62.866087
158.638195,34,62.901241
192.528738,44,65.761427
134.565965,29,65.792468
150.685857,33,65.831424
138.756269,32,65.874804
135.370503,31,65.915183
176.165979,38,65.965203
150.671663,33,65.999365
167.142822,41,66.043248
147.725102,31,66.075862
142.967479,31,66.111969
84.867854,18,66.131305
105.472188,24,66.156738
115.467271,23,66.181388
200.961442,41,66.242172
101.831143,21,66.271404
182.359043,40,66.320455
135.335502,28,66.353888
175.010402,36,66.402534
136.214902,28,66.433275
184.113343,39,66.475978
202.428384,41,66.520367
234.959318,48,66.571905
134.504662,30,66.604975
129.787611,29,66.63594
165.405115,40,66.678475
141.776377,30,66.710754
89.880075,19,66.730554
126.079285,27,66.759652
167.548246,36,66.799422
269.154372,58,66.868603
176.979585,38,66.910559
112.749377,25,66.937116
147.532529,30,66.969024
157.37669,34,67.006027
121.628121,31,67.03824
241.21249,48,67.090965
193.241518,42,67.136683
125.935623,30,67.167933
131.619757,31,67.200584
147.250874,30,67.232522
154.813748,34,67.26801
186.096904,38,67.308927
147.121151,34,67.344582
107.640674,23,67.368852
133.91472,29,67.401206
167.808099,36,67.439352
170.825456,38,67.481084
115.255002,27,67.510251
249.068098,58,67.573382
216.390177,46,67.625841
